metro_name;uci_index_urban;uci_index_iware;moran_poi;moran_len;moran_urban;moran_ware;moran_price;moran_ware_intensity;moran_price_intensity;pop_2000;pop_2015;area;municipalities;year_t0;year_t1;time;number_ware_t0;average_distance_ware_gravity_t0;number_ware_t1;average_distance_ware_gravity_t1;log_sprawl;u_HH;u_HL;u_LH;u_LL;u_NS;cw_HH;cw_HL;cw_LH;cw_LL;cw_NS;pw_HH;pw_HL;pw_LH;pw_LL;pw_NS;log_sprawl_
saint_louis;0,112;0,342;0,481;0,764;0,721;0,195;0,318;0,195;0,318;2148575;2311690;21032;15;2003;2013;10;148;23,91;144;21,00;Not;0,0837209302325581;0,001860465116279070;0,001860465116279070;0,0958139534883721;0,816744186046512;0,01674418604651163;0,002790697674418605;0,01395348837209302;0,2595348837209303;0,706976744186047;0,02325581395348837;0,003720930232558140;0,0316279069767442;0,3841860465116279;0,557209302325581;0
salt_lake_city;0,178;0,352;0,343;0,690;0,657;0,491;0,341;0,491;0,341;939169;1164912;21169;2;2003;2013;10;88;23,11;117;23,42;Yes;0,0425733207190161;0,000000000000000000;0,000946073793755913;0,1627246925260170;0,793755912961211;0,00946073793755913;0,000946073793755913;0,00946073793755913;0,4068117313150426;0,573320719016083;0,01040681173131504;0,000946073793755913;0,0217596972563860;0,4881740775780511;0,478713339640492;1
san_antonio;0,113;0,340;0,432;0,814;0,777;0,242;0,261;0,242;0,261;1747863;2405335;19250;8;2003;2013;10;47;13,89;67;18,33;Yes;0,0697435897435897;0,000000000000000000;0,001025641025641026;0,1405128205128205;0,788717948717949;0,01948717948717949;0,006153846153846154;0,01641025641025641;0,3251282051282051;0,632820512820513;0,02153846153846154;0,008205128205128205;0,0369230769230769;0,3969230769230769;0,536410256410256;1
san_diego;0,164;0,335;0,543;0,712;0,717;0,212;0,352;0,212;0,352;2813839;3280850;11730;1;2003;2013;10;84;21,68;86;20,74;Not;0,1334459459459459;0,000000000000000000;0,001689189189189189;0,1385135135135135;0,726351351351351;0,01689189189189189;0,005067567567567568;0,01520270270270270;0,3209459459459459;0,641891891891892;0,03885135135135135;0,005067567567567568;0,0388513513513514;0,3699324324324325;0,547297297297297;0
san_francisco;0,169;0,318;0,404;0,617;0,590;0,166;0,270;0,166;0,270;4123734;4647924;8897;5;2003;2013;10;305;56,07;349;57,29;Yes;0,1113402061855670;0,000000000000000000;0,004123711340206186;0,1608247422680412;0,723711340206186;0,02061855670103093;0,002061855670103093;0,02680412371134020;0,2515463917525773;0,698969072164948;0,03917525773195876;0,002061855670103093;0,0309278350515464;0,2927835051546392;0,635051546391753;1
sao_paulo;0,154;0,285;0,509;0,839;0,832;0,336;0,466;0,336;0,466;15080000;21600000;7944;39;1992;2017;25;228;17,50;2066;17,60;Not;0,1495327102803738;0,000000000000000000;0,000000000000000000;0,1401869158878505;0,710280373831776;0,03971962616822430;0,000000000000000000;0,00467289719626168;0,1238317757009346;0,831775700934579;0,10046728971962617;0,000000000000000000;0,0186915887850467;0,2242990654205607;0,656542056074766;0
seattle;0,148;0,338;0,381;0,759;0,721;0,302;0,394;0,302;0,394;622023;789074;17230;3;1998;2009;11;85;20,60;212;19,31;Not;0,1174458380843786;0,000000000000000000;0,000000000000000000;0,1812998859749145;0,701254275940707;0,01824401368301026;0,001140250855188141;0,01482326111744584;0,2542759407069555;0,711516533637400;0,03534777651083238;0,004561003420752566;0,0399087799315849;0,4253135689851767;0,494868871151653;0
tampa;0,152;0,322;0,462;0,691;0,640;0,163;0,255;0,163;0,255;2396038;2983928;8740;4;2003;2013;10;63;16,91;79;16,66;Not;0,0993377483443709;0,000000000000000000;0,006622516556291391;0,1390728476821192;0,754966887417219;0,02428256070640177;0,006622516556291391;0,01324503311258278;0,2825607064017660;0,673289183222958;0,03752759381898454;0,006622516556291391;0,0375275938189845;0,3377483443708609;0,580573951434879;0
toronto;0,172;0,341;0,389;0,734;0,681;0,220;0,232;0,220;0,232;2432492;2745281;7930;21;2002;2012;10;165;16,70;228;17,90;Yes;0,1551246537396122;0,000000000000000000;0,005540166204986150;0,1052631578947368;0,734072022160665;0,01662049861495845;0,008310249307479225;0,03047091412742382;0,3961218836565097;0,548476454293629;0,02216066481994460;0,005540166204986150;0,0443213296398892;0,3711911357340720;0,556786703601108;1
tucson;0,145;0,354;0,393;0,780;0,748;0,187;0,275;0,187;0,275;843702;1009103;23847;1;2003;2013;10;33;56,66;55;45,80;Not;0,0440304826418290;0,000000000000000000;0,000846740050804403;0,1405588484335309;0,814563928873836;0,00592718035563082;0,000846740050804403;0,01270110076206605;0,3920406435224386;0,588484335309060;0,00592718035563082;0,001693480101608806;0,0186282811176969;0,5156646909398814;0,458086367485182;0
tulsa;0,105;0,351;0,543;0,736;0,718;0,256;0,295;0,256;0,295;822560;939783;16741;7;2003;2013;10;39;19,60;37;23,63;Yes;0,0458190148911798;0,000000000000000000;0,000000000000000000;0,0504009163802978;0,903780068728522;0,01145475372279496;0,003436426116838488;0,01489117983963345;0,3379152348224513;0,632302405498282;0,01260022909507446;0,002290950744558992;0,0229095074455899;0,4558991981672394;0,506300114547537;1
vancouver;0,181;0,335;0,551;0,710;0,706;0,305;0,349;0,305;0,349;1536734;1776325;3034;9;2002;2012;10;135;12,80;134;17,00;Yes;0,1162790697674419;0,000000000000000000;0,000000000000000000;0,1860465116279070;0,697674418604651;0,04069767441860465;0,000000000000000000;0,02906976744186046;0,5348837209302325;0,395348837209302;0,04651162790697674;0,000000000000000000;0,0465116279069767;0,3372093023255814;0,569767441860465;1
virginia_beach;0,168;0,350;0,395;0,716;0,647;0,246;0,308;0,246;0,308;1931738;2106945;10199;16;2003;2013;10;90;29,72;98;27,60;Not;0,0996376811594203;0,001811594202898551;0,001811594202898551;0,1286231884057971;0,768115942028985;0,01449275362318841;0,001811594202898551;0,01811594202898551;0,3858695652173913;0,579710144927536;0,01811594202898551;0,001811594202898551;0,0362318840579710;0,4909420289855073;0,452898550724638;0
washington;0,121;0,326;0,438;0,781;0,773;0,261;0,288;0,261;0,288;4709434;5720217;17391;24;2003;2013;10;285;51,87;318;55,01;Yes;0,1144114411441144;0,001100110011001100;0,001100110011001100;0,1034103410341034;0,779977997799780;0,02970297029702970;0,007700770077007701;0,02420242024202420;0,2948294829482948;0,643564356435644;0,03300330033003300;0,005500550055005501;0,0319031903190319;0,3168316831683168;0,612761276127613;1
